name,slot_type,family,is_named,is_exotic,base_damage,base_rpm,base_mag_size,base_reload_time,optimal_range,hsd,optics,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
Sweet Dreams,main,SPAS-12,FALSE,TRUE,716008,70,8,5.5,10.4,25,fixed:Outcast Optics,fixed:Modified Feed System,N/A,fixed:Stunner,fixed:Sandman,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Marine Super 90,main,Super 90,FALSE,FALSE,389936,160,8,4.65,11,45,type:optics-long,type:mag-tubular,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Super 90,main,Super 90,FALSE,FALSE,389936,160,8,4.65,11,45,type:optics-long,type:mag-tubular,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Tactical Super 90 SBS,main,Super 90,FALSE,FALSE,389936,160,8,4.65,11,45,type:optics-long,type:mag-tubular,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Like Glue,main,Super 90,TRUE,FALSE,389936,160,8,4.65,11,45,type:optics-long,type:mag-tubular,N/A,type:underbarrel-long,fixed:Perfect Brazen,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Sheriff,main,Super 90,FALSE,TRUE,526412,160,8,4.65,100,45,N/A,N/A,N/A,N/A,fixed:Autentico,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Enforcer,main,Super 90,TRUE,FALSE,389936,160,8,4.65,11,45,type:optics-short,type:mag-tubular,N/A,type:underbarrel-long,fixed:Perfect Pummel,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
Six12,main,Six12,FALSE,FALSE,409568,130,7,3.00,14,45,type:optics-short,type:mag-tubular,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
The Mop,main,Six12,TRUE,FALSE,409568,130,7,3.00,14,45,type:optics-short,type:mag-tubular,N/A,type:underbarrel-long,type:shotgun,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,fixed:armor-on-kill-the-mop,N/A,N/A
Scorpio,main,Six12,FALSE,TRUE,409568,130,7,3.00,14,45,fixed:Starlight Receptors,fixed:Venom Glands,fixed:Aculeus,fixed:Chelae Grip,fixed:Septic Shock,fixed:shotgun-damage-weapon-core,fixed:damage-to-armor-weapon-core,N/A,type:weapon-minor,N/A,N/A
