name,category,compatibility,stats
Gaze of Death,optics,N/A,critical-hit-chance:15%
Death's Hand,magazine,N/A,reload-speed:10%
Death's Maw,muzzle,N/A,critical-hit-damage:10%
Kiss of Death,underbarrel,N/A,melee-damage:500%
Infinity Sights,optics,N/A,critical-hit-damage:10%
Serpent Magazine,magazine,N/A,reload-speed:25%
Weather-Resistant Muzzle,muzzle,N/A,rate-of-fire:10%
Light Heavy-Duty Grip,underbarrel,N/A,critical-hit-chance:10%
Oxpecker Optic,optics,N/A,optimal-range:50%
Oxpecker Muzzle,muzzle,N/A,magazine-size:10
Oxpecker Underbarrel,underbarrel,N/A,critical-hit-chance:15%
Modified Optics,optics,N/A,critical-hit-chance:15%
Chatterbox Magazine,magazine,N/A,magazine-size:10
Chatterbox Muzzle,muzzle,N/A,critical-hit-damage:15%
Chatterbox Canister,underbarrel,N/A,weapon-handling:10%
Agitator Scope,optics,N/A,critical-hit-chance:10%
Agitator Magazine,magazine,N/A,magazine-size:20
Agitator Muzzle,muzzle,N/A,swap-speed:50%
Whiplash Optics,optics,N/A,critical-hit-damage:10%
Whiplash Magazine,magazine,N/A,critical-hit-chance:10%
Whiplash Underbarrel,underbarrel,N/A,swap-speed:50%
Caduceus Optics,optics,N/A,
Caduceus Magazine,magazine,N/A,
Caduceus Muzzle,muzzle,N/A,
Caduceus Underbarrel,underbarrel,N/A,
