name,slot_type,family,is_named,is_exotic,base_damage,base_rpm,base_mag_size,base_reload_time,optimal_range,hsd,optics,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
Bittersweet,main,M1A,FALSE,TRUE,231346,180,10,2.6,60,70,fixed:Bittersweet Scope,fixed:Bittersweet Magazine,N/A,fixed:Bittersweet Underbarrel,fixed:Transfusion,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Doctor Home,main,M1A,FALSE,TRUE,129269.5,320,10,2.31,60,60,fixed:Doctor's Sight,fixed:Home's Magazine,fixed:Doctor's Perseverance,fixed:Doctor's Grip,fixed:Doctor Home,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Lightweight M4,main,M4,FALSE,FALSE,107257.5,360,30,2.03,55,60,type:optics-normal,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
LVOA-C,main,M4,FALSE,FALSE,100615,380,30,2.08,55,60,type:optics-normal,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Surge,main,M4,TRUE,FALSE,100615,380,30,2.08,55,60,type:optics-normal,type:mag-5.56,type:muzzle-5.56,type:underbarrel-long,fixed:Perfect Spike,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Urban MDR,main,MDR,FALSE,FALSE,102970,380,20,2.85,60,60,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Brain Break,main,MDR,TRUE,FALSE,102970,380,20,2.85,60,60,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Head Scratcher,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Vindicator,main,MDR,FALSE,TRUE,102970,380,20,2.85,60,60,fixed:AR Scope,fixed:Simulation Magazine,fixed:Velocity Amplifier,fixed:Loop Grip,fixed:Ortiz Assault Interface,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Military MK17,main,Scar,FALSE,FALSE,145850,275,10,2.45,55,60,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Police MK17,main,Scar,FALSE,FALSE,145850,275,10,2.45,55,60,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Everlasting Gaze,main,Scar,TRUE,FALSE,145850,275,10,2.45,55,60,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Perpetuation,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
SIG 716,main,SIG,FALSE,FALSE,121258,320,20,2.68,45,60,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
SIG 716 CQB,main,SIG,FALSE,FALSE,125865,320,20,2.63,45,60,type:optics-long,type:mag-7.62,N/A,type:underbarrel-short,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Artist's Tool,main,SIG,TRUE,FALSE,125865,320,20,2.63,45,60,type:optics-long,type:mag-7.62,N/A,type:underbarrel-short,fixed:Perfect Rifleman,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
The Ravenous,main,SIG,FALSE,TRUE,134360,240,60,2.4,50,60,fixed:Predatory Optics,fixed:Gluttonous Magazines,fixed:Devouring Maw,fixed:Wolf's Claw,fixed:Geri and Freki,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
USC .45 ACP,main,UMP,FALSE,FALSE,97742.5,420,20,2.88,55,60,type:optics-long,type:mag-45-acp,N/A,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Achilles,main,UMP,TRUE,FALSE,97742.5,420,20,2.88,55,61,type:optics-long,type:mag-45-acp,N/A,type:underbarrel-long,fixed:Perfect Soft Spot,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Resolute Mk47,main,MK47,FALSE,FALSE,124901,300,30,1.94,55,60,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Harmony,main,MK47,TRUE,FALSE,124901,300,30,1.94,55,60,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect In Sync,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
1886,main,1886,FALSE,FALSE,386988.5,100,8,3.46,35,60,N/A,type:mag-tubular,N/A,N/A,type:rifle,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
The Virginian,main,1886,TRUE,FALSE,386988.5,100,8,3.46,35,60,N/A,type:mag-tubular,N/A,N/A,fixed:Perfect Boomerang,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
Diamondback,main,1886,FALSE,TRUE,386988.5,100,8,3.47,35,60,fixed:Diamondback Dot Sight,fixed:Diamondback Lever,fixed:Diamondback Ornamentation,fixed:Diamondback Grip,fixed:Agonizing Bite,fixed:rifle-damage-weapon-core,fixed:critical-hit-damage-weapon-core,N/A,type:weapon-minor,N/A,N/A
