name,slot_type,family,is_named,is_exotic,base_damage,base_rpm,base_mag_size,base_reload_time,optimal_range,hsd,optics,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
Tactical M249 Para,main,M249,FALSE,FALSE,48300,850,100,4.54,35,65,type:optics-long,type:mag-belt,type:muzzle-5.56,type:underbarrel-long,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Military MK46,main,M249,FALSE,FALSE,48300,850,100,4.54,35,65,type:optics-long,type:mag-belt,type:muzzle-5.56,type:underbarrel-long,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Black Friday,main,M249,TRUE,FALSE,48300,850,100,4.54,35,65,type:optics-long,type:mag-belt,type:muzzle-5.56,type:underbarrel-long,fixed:Perfect Unhinged,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
The Stinger,main,M249,TRUE,FALSE,48300,850,100,4.54,35,65,type:optics-long,type:mag-belt,type:muzzle-5.56,type:underbarrel-long,fixed:Swift,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Gear Shift,main,M249,TRUE,FALSE,48300,850,100,4.54,35,65,type:optics-long,type:mag-belt,type:muzzle-5.56,type:underbarrel-long,fixed:Perfect Measured,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Pestilence,main,M249,FALSE,TRUE,48300,850,100,4.54,35,65,N/A,fixed:Plagued Magazine,fixed:Plagued Muzzle,fixed:Caution Tape,fixed:Plague of the Outcasts,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Classic M60,main,M60,FALSE,FALSE,67711,600,100,3.75,40,65,type:optics-long,type:mag-belt,N/A,type:underbarrel-long,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Military M60 E4,main,M60,FALSE,FALSE,65233.5,600,100,3.85,40,65,type:optics-long,type:mag-belt,type:muzzle-7.62,type:underbarrel-long,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Black Market M60 E6,main,M60,FALSE,FALSE,65233.5,600,100,3.85,40,65,type:optics-long,type:mag-belt,type:muzzle-7.62,type:underbarrel-long,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Good Times,main,M60,TRUE,FALSE,65233.5,600,100,3.85,40,65,type:optics-long,type:mag-belt,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Fast Hands,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
The Headline-grabber,main,M60,TRUE,FALSE,65233.5,600,100,3.85,40,65,type:optics-long,type:mag-belt,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Strained,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
MG5,main,MG5,FALSE,FALSE,54322,800,50,2.96,35,65,type:optics-long,type:mag-belt,N/A,type:underbarrel-short,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Infantry MG5,main,MG5,FALSE,FALSE,52333.5,800,50,3.01,35,65,type:optics-long,type:mag-belt,type:muzzle-7.62,type:underbarrel-short,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Bellringer,main,MG5,FALSE,FALSE,52333.5,800,50,3.01,35,65,type:optics-long,type:mag-belt,type:muzzle-7.62,type:underbarrel-short,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Big Show,main,MG5,TRUE,FALSE,54322,800,50,2.96,35,65,type:optics-long,type:mag-belt,N/A,type:underbarrel-short,fixed:Perfect Thunder Strike,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Sleipner,main,MG5,TRUE,FALSE,54322,800,50,2.96,35,65,type:optics-long,type:mag-belt,N/A,type:underbarrel-short,fixed:Perfect Frenzy,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Iron Lung,main,MG5,FALSE,TRUE,54322,800,50,2.96,35,65,N/A,fixed:Bellows,fixed:Dragon Horns,fixed:Scales,fixed:Ardent,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
IWI NEGEV,main,NEGEV,FALSE,FALSE,54604,750,100,4.00,40,65,type:optics-short,type:mag-belt,type:muzzle-7.62,type:underbarrel-long,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Carnage,main,NEGEV,TRUE,FALSE,54604,750,100,4.00,40,65,type:optics-short,type:mag-belt,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Sadist,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Bullet King,main,NEGEV,FALSE,TRUE,54604,750,1000,0,40,65,N/A,fixed:Mag of Holding,fixed:Gold Plated Muzzle,fixed:Solid Gold Bipod,fixed:Bullet Hell,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Classic RPK-74,main,RPK,FALSE,FALSE,71538,600,40,4.00,30,65,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Military RPK-74,main,RPK,FALSE,FALSE,71538,600,40,4.00,30,65,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Black Market RPK-74,main,RPK,FALSE,FALSE,71538,600,40,4.00,30,65,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,type:lmg,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Rusty,main,RPK,TRUE,FALSE,71538,600,40,4.00,30,65,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Pressure Point,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
New Reliable,main,RPK,TRUE,FALSE,71538,600,40,4.00,30,65,type:optics-long,type:mag-7.62,type:muzzle-7.62,type:underbarrel-long,fixed:Perfect Optimized,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Pakhan,main,RPK,FALSE,TRUE,71538,600,160,4,30,65,fixed:Pakhan Optic,fixed:Pakhan Magazine,fixed:Pakhan Muzzle,fixed:Pakhan Underbarrel,fixed:Pakhan,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
Big Alejandro,main,Ameli,FALSE,TRUE,39278.5,1100,200,4.03,35,65,N/A,N/A,N/A,N/A,fixed:Cover Shooter,fixed:lmg-damage-weapon-core,fixed:dtoc-weapon-core,N/A,type:weapon-minor,N/A,N/A
