id,stat_id,range_min,range_max,proto_max,compatibility,category,fidelity
damage-to-armor-contractors-gloves,damage-to-armor,8%,8%,12%,N/A,offensive,0.1%
skill-health-motherly-love,skill-health,25%,25%,37.5%,N/A,skill,0.1%
weapon-handling-eagles-grasp,weapon-handling,15%,15%,22.5%,N/A,offensive,0.1%
status-effects-firm-handshake,status-effects,16%,16%,24%,N/A,skill,0.1%
dtoc-foxs-prayer,dtoc,8%,8%,12%,N/A,offensive,0.1%
weapon-damage-turmoil,weapon-damage,15%,15%,22.5%,N/A,offensive,0.1%
critical-hit-chance-turmoil,critical-hit-chance,6%,6%,9%,N/A,offensive,0.1%
critical-hit-damage-turmoil,critical-hit-damage,12%,12%,18%,N/A,offensive,0.1%
armor-regeneration-emperors-guard,armor-regeneration,1%,1%,1.5%,N/A,defensive,0.1%
status-effects-grease,status-effects,16%,16%,24%,N/A,skill,0.1%
weapon-damage-cloak,weapon-damage,15%,15%,22.5%,N/A,offensive,0.1%
reduced-threat-cloak,reduced-threat,50%,50%,75%,N/A,defensive,0.1%
